team_name,total_games,points,goals_scored,goals_conceded,wins,draws,losses,win_percentage,home_games,away_games,home_goals_scored,away_goals_scored,home_performance,away_performance
Liverpool FC,15,36,31,13,11,3,1,73.33,8,7,15,16,1.88,2.29
Chelsea FC,16,34,37,19,10,4,2,62.5,8,8,14,23,1.75,2.88
Arsenal FC,16,30,29,15,8,6,2,50.0,8,8,17,12,2.12,1.5
Nottingham Forest FC,16,28,21,19,8,4,4,50.0,8,8,10,11,1.25,1.38
Manchester City FC,16,27,28,23,8,3,5,50.0,8,8,16,12,2.0,1.5
Aston Villa FC,16,25,24,25,7,4,5,43.75,8,8,13,11,1.62,1.38
AFC Bournemouth,16,25,24,21,7,4,5,43.75,8,8,11,13,1.38,1.62
Fulham FC,16,24,24,22,6,6,4,37.5,8,8,14,10,1.75,1.25
Brighton & Hove Albion FC,16,24,26,25,6,6,4,37.5,8,8,13,13,1.62,1.62
Brentford FC,16,23,32,30,7,2,7,43.75,8,8,26,6,3.25,0.75
Tottenham Hotspur FC,16,23,36,19,7,2,7,43.75,8,8,20,16,2.5,2.0
Newcastle United FC,16,23,23,21,6,5,5,37.5,8,8,12,11,1.5,1.38
Manchester United FC,16,22,21,19,6,4,6,37.5,8,8,13,8,1.62,1.0
West Ham United FC,16,19,21,29,5,4,7,31.25,8,8,12,9,1.5,1.12
Crystal Palace FC,16,16,17,21,3,7,6,18.75,8,8,6,11,0.75,1.38
Everton FC,15,15,14,21,3,6,6,20.0,7,8,9,5,1.29,0.62
Leicester City FC,16,14,21,34,3,5,8,18.75,8,8,11,10,1.38,1.25
Ipswich Town FC,16,12,16,28,2,6,8,12.5,8,8,6,10,0.75,1.25
Wolverhampton Wanderers FC,16,9,24,40,2,3,11,12.5,8,8,12,12,1.5,1.5
Southampton FC,16,5,11,36,1,2,13,6.25,8,8,7,4,0.88,0.5
